course_name,lectures,TD,TP
ALGC,Amphi,TD Room,TP Room
SE,Amphi,TD Room,TP Room
TAI,Amphi,TD Room,TP Room
ABD,Amphi,TD Room,TP Room
RP,Amphi,TD Room,TP Room
CM,Amphi,TD Room,TP Room
