course_name      ,lectures ,TD      ,TP
THOR             ,Amphi    ,        ,TP Room
VT               ,Amphi    ,        ,TP Room
GRAPHES_BIG_DATA ,Amphi    ,        ,TP Room
GP               ,Amphi    ,TD Room ,TP Room
SSAD             ,Amphi    ,TD Room ,TP Room
PRAVAN           ,Amphi    ,        ,TP Room
OL               ,Amphi    ,        ,TP Room
POO              ,Amphi    ,TD Room ,TP Room
BADO             ,Amphi    ,        ,TP Room
CPSI             ,Amphi    ,TD Room ,TP Room
