course_name,lectures,TD,TP
ALGO,Amphi,TD Room,TP Room
ALGEBRE,Amphi,TD Room,
STRM,Amphi,TD Room,
STAT,Amphi,TD Room,
ANALYSE,Amphi,TD Room,
OPM,Amphi,TD Room,TP Room
ELEC,Amphi,TD Room,TP Room


