course_name  ,lectures ,TD      ,TP
ALGO_COMPLEX ,Amphi    ,TD Room ,TP Room
SYS          ,Amphi    ,TD Room ,TP Room
GP           ,Amphi    ,TD Room ,TP Room
ARSGBD       ,Amphi    ,TD Room ,TP Room
RES_PROTO    ,Amphi    ,TD Room ,TP Room
MEPS         ,Amphi    ,TD Room ,TP Room
