course_name ,lectures ,TD      ,TP
AAC         ,Amphi    ,TD Room ,TP Room
SPS         ,Amphi    ,        ,TP Room
GPR         ,Amphi    ,TD Room ,TP Room
BIOMATH     ,Amphi    ,TD Room ,TP Room
ANGLAIS     ,Amphi    ,        ,TP Room
BIOGEN      ,Amphi    ,TD Room ,TP Room
BIOSTAT     ,Amphi    ,TD Room ,TP Room
