course_name,lectures,TD,TP
COMPLEX,Amphi,TD Room,TP Room
SYS,Amphi,TD Room,TP Room
COMPIL,Amphi,TD Room,TP Room
ASGBD,Amphi,TD Room,TP Room
RES PB,Amphi,TD Room,TP Room
MEPS,Amphi,TD Room,TP Room
