course_name,lectures,TD,TP
SYS,1,,TP Room
TCP,1,TD Room,TP Room
ANT,1,TD Room,TP Room
WEB,1,,TP Room
NIR,1,,
SIG,1,TD Room,TP Room
MICPROC,1,TD Room,TP Room
